competen;codufmun;cnes;tp_leito;DS_TP_LEITO;co_leito;DS_CO_LEITO;qt_exist;qt_contr;qt_sus;qt_nsus
202506;130260;2018071;1;CIRURGICO;13;ORTOPEDIATRAUMATOLOGIA;6;0;6;0
202506;130260;2018071;5;PEDIATRICO;45;PEDIATRIA CLINICA;63;0;63;0
202506;130260;2018071;3;COMPLEMENTAR;78;UTI PEDIATRICA - TIPO II;10;0;10;0
202506;130260;2018071;5;PEDIATRICO;68;PEDIATRIA CIRURGICA;6;0;6;0
202506;130260;2018098;3;COMPLEMENTAR;75;UTI ADULTO - TIPO II;15;0;0;15
202506;130260;2018098;1;CIRURGICO;3;CIRURGIA GERAL;12;0;0;12
202506;130260;2018098;2;CLINICO;33;CLINICA GERAL;46;0;1;45
202506;130260;2018101;1;CIRURGICO;3;CIRURGIA GERAL;1;0;1;0
202506;130260;2018101;2;CLINICO;33;CLINICA GERAL;59;0;59;0
202506;130260;2018330;1;CIRURGICO;11;OFTALMOLOGIA;22;0;20;2
202506;130260;2018365;3;COMPLEMENTAR;75;UTI ADULTO - TIPO II;7;0;0;7
202506;130260;2018365;3;COMPLEMENTAR;81;UTI NEONATAL - TIPO II;8;0;0;8
202506;130260;2018365;4;OBSTERICO;10;OBSTETRICIA CIRURGICA;10;0;0;10
202506;130260;2018365;1;CIRURGICO;3;CIRURGIA GERAL;12;0;0;12
202506;130260;2018365;4;OBSTERICO;43;OBSTETRICIA CLINICA;8;0;0;8
202506;130260;2018365;2;CLINICO;33;CLINICA GERAL;9;0;0;9
202506;130260;2018403;3;COMPLEMENTAR;85;UTI CORONARIANA TIPO II - UCO TIPO II;10;0;10;0
202506;130260;2018403;3;COMPLEMENTAR;78;UTI PEDIATRICA - TIPO II;11;0;10;1
202506;130260;2018403;3;COMPLEMENTAR;75;UTI ADULTO - TIPO II;22;0;12;10
202506;130260;2018403;5;PEDIATRICO;68;PEDIATRIA CIRURGICA;10;0;10;0
202506;130260;2018403;2;CLINICO;32;CARDIOLOGIA;56;0;56;0
202506;130260;2018403;5;PEDIATRICO;45;PEDIATRIA CLINICA;12;0;12;0
202506;130260;2018403;7;HOSPITAL DIA;7;CIRURGICO/DIAGNOSTICO/TERAPEUTICO;14;0;14;0
202506;130260;2018403;1;CIRURGICO;3;CIRURGIA GERAL;2;0;2;0
202506;130260;2018403;1;CIRURGICO;2;CARDIOLOGIA;34;0;34;0
202506;130260;2018748;7;HOSPITAL DIA;7;CIRURGICO/DIAGNOSTICO/TERAPEUTICO;3;0;3;0
202506;130260;2018969;7;HOSPITAL DIA;7;CIRURGICO/DIAGNOSTICO/TERAPEUTICO;4;0;3;1
202506;130260;2019078;1;CIRURGICO;11;OFTALMOLOGIA;2;0;1;1
202506;130260;2019086;7;HOSPITAL DIA;7;CIRURGICO/DIAGNOSTICO/TERAPEUTICO;2;0;0;2
202506;130260;2019086;1;CIRURGICO;11;OFTALMOLOGIA;2;0;0;2
202506;130260;2019558;3;COMPLEMENTAR;75;UTI ADULTO - TIPO II;7;0;7;0
202506;130260;2019558;2;CLINICO;41;NEONATOLOGIA;10;0;10;0
202506;130260;2019558;3;COMPLEMENTAR;81;UTI NEONATAL - TIPO II;16;0;10;6
202506;130260;2019558;2;CLINICO;33;CLINICA GERAL;7;0;7;0
202506;130260;2019558;3;COMPLEMENTAR;92;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL;20;0;20;0
202506;130260;2019558;3;COMPLEMENTAR;93;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CANGURU;10;0;10;0
202506;130260;2019558;4;OBSTERICO;10;OBSTETRICIA CIRURGICA;31;0;31;0
202506;130260;2019558;1;CIRURGICO;3;CIRURGIA GERAL;4;0;4;0
202506;130260;2019558;5;PEDIATRICO;45;PEDIATRIA CLINICA;8;0;8;0
202506;130260;2019558;4;OBSTERICO;43;OBSTETRICIA CLINICA;32;0;32;0
202506;130260;2019566;5;PEDIATRICO;45;PEDIATRIA CLINICA;7;0;7;0
202506;130260;2019566;2;CLINICO;33;CLINICA GERAL;13;0;13;0
202506;130260;2019566;4;OBSTERICO;10;OBSTETRICIA CIRURGICA;12;0;12;0
202506;130260;2019566;4;OBSTERICO;43;OBSTETRICIA CLINICA;33;0;33;0
202506;130260;2019574;1;CIRURGICO;13;ORTOPEDIATRAUMATOLOGIA;23;0;23;0
202506;130260;2019574;3;COMPLEMENTAR;75;UTI ADULTO - TIPO II;28;0;28;0
202506;130260;2019574;1;CIRURGICO;9;NEUROCIRURGIA;67;0;67;0
202506;130260;2019574;1;CIRURGICO;3;CIRURGIA GERAL;42;0;42;0
202506;130260;2019574;2;CLINICO;33;CLINICA GERAL;86;0;86;0
202506;130260;2019590;6;OUTRAS ESPECIALIDADES;47;PSIQUIATRIA;21;0;21;0
202506;130260;3004104;5;PEDIATRICO;45;PEDIATRIA CLINICA;3;0;3;0
202506;130260;3004104;1;CIRURGICO;3;CIRURGIA GERAL;2;0;2;0
202506;130260;3004104;3;COMPLEMENTAR;81;UTI NEONATAL - TIPO II;5;0;5;0
202506;130260;3004104;4;OBSTERICO;43;OBSTETRICIA CLINICA;20;0;20;0
202506;130260;3004104;2;CLINICO;33;CLINICA GERAL;2;0;2;0
202506;130260;3004104;4;OBSTERICO;10;OBSTETRICIA CIRURGICA;15;0;15;0
202506;130260;3004104;3;COMPLEMENTAR;93;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CANGURU;4;0;3;1
202506;130260;3004104;3;COMPLEMENTAR;92;UNIDADE DE CUIDADOS INTERMEDIARIOS NEONATAL CONVENCIONAL;5;0;5;0
202506;130260;3105490;7;HOSPITAL DIA;7;CIRURGICO/DIAGNOSTICO/TERAPEUTICO;4;0;3;1
202506;130260;3151794;3;COMPLEMENTAR;75;UTI ADULTO - TIPO II;25;0;25;0
202506;130260;3151794;4;OBSTERICO;10;OBSTETRICIA CIRURGICA;65;0;65;0
202506;130260;3151794;2;CLINICO;33;CLINICA GERAL;6;0;6;0
